여행 검색,상위 카테고리,하위 카테고리,지역,모바일 검색 횟수,PC 검색 횟수,총 검색 횟수,검색 한 날짜
부산여행,여행,국내여행,부산광역시,1275,597,1872,20240401
경주여행,여행,국내여행,경상북도,1219,585,1804,20240401
제주여행,여행,국내여행,제주특별자치도,1258,504,1762,20240401
여수여행,여행,국내여행,전라남도,1150,461,1611,20240401
군산여행,여행,국내여행,전라북도,698,216,914,20240401
강릉여행,여행,국내여행,강원도,619,287,906,20240401
전주여행,여행,국내여행,전라북도,657,248,905,20240401
목포여행,여행,국내여행,전라남도,505,192,697,20240401
속초여행,여행,국내여행,강원도,454,226,680,20240401
대구여행,여행,국내여행,대구광역시,449,166,615,20240401
부산여행,여행,국내여행,부산광역시,1419,668,2087,20240402
경주여행,여행,국내여행,경상북도,1080,605,1685,20240402
제주여행,여행,국내여행,제주특별자치도,1131,502,1633,20240402
여수여행,여행,국내여행,전라남도,1112,370,1482,20240402
군산여행,여행,국내여행,전라북도,738,259,997,20240402
강릉여행,여행,국내여행,강원도,607,297,904,20240402
전주여행,여행,국내여행,전라북도,636,210,846,20240402
목포여행,여행,국내여행,전라남도,450,239,689,20240402
대구여행,여행,국내여행,대구광역시,475,176,651,20240402
속초여행,여행,국내여행,강원도,455,192,647,20240402
부산여행,여행,국내여행,부산광역시,1241,564,1805,20240403
여수여행,여행,국내여행,전라남도,1245,398,1643,20240403
제주여행,여행,국내여행,제주특별자치도,1164,444,1608,20240403
경주여행,여행,국내여행,경상북도,1022,530,1552,20240403
군산여행,여행,국내여행,전라북도,760,256,1016,20240403
강릉여행,여행,국내여행,강원도,578,287,865,20240403
전주여행,여행,국내여행,전라북도,593,237,830,20240403
속초여행,여행,국내여행,강원도,497,212,709,20240403
목포여행,여행,국내여행,전라남도,492,195,687,20240403
대구여행,여행,국내여행,대구광역시,485,121,606,20240403
부산여행,여행,국내여행,부산광역시,1329,616,1945,20240404
제주여행,여행,국내여행,제주특별자치도,1089,451,1540,20240404
경주여행,여행,국내여행,경상북도,985,528,1513,20240404
여수여행,여행,국내여행,전라남도,1073,424,1497,20240404
군산여행,여행,국내여행,전라북도,842,222,1064,20240404
전주여행,여행,국내여행,전라북도,603,275,878,20240404
강릉여행,여행,국내여행,강원도,595,283,878,20240404
속초여행,여행,국내여행,강원도,466,257,723,20240404
목포여행,여행,국내여행,전라남도,465,240,705,20240404
남해여행,여행,국내여행,경상남도,413,164,577,20240404
부산여행,여행,국내여행,부산광역시,1483,566,2049,20240405
여수여행,여행,국내여행,전라남도,1183,358,1541,20240405
경주여행,여행,국내여행,경상북도,1029,408,1437,20240405
제주여행,여행,국내여행,제주특별자치도,1024,364,1388,20240405
군산여행,여행,국내여행,전라북도,849,219,1068,20240405
강릉여행,여행,국내여행,강원도,604,267,871,20240405
전주여행,여행,국내여행,전라북도,616,204,820,20240405
속초여행,여행,국내여행,강원도,489,178,667,20240405
대구여행,여행,국내여행,대구광역시,471,151,622,20240405
목포여행,여행,국내여행,전라남도,451,144,595,20240405
부산여행,여행,국내여행,부산광역시,1532,193,1725,20240406
여수여행,여행,국내여행,전라남도,1233,131,1364,20240406
경주여행,여행,국내여행,경상북도,1114,155,1269,20240406
제주여행,여행,국내여행,제주특별자치도,997,145,1142,20240406
군산여행,여행,국내여행,전라북도,955,86,1041,20240406
강릉여행,여행,국내여행,강원도,617,100,717,20240406
전주여행,여행,국내여행,전라북도,611,85,696,20240406
대구여행,여행,국내여행,대구광역시,596,76,672,20240406
목포여행,여행,국내여행,전라남도,588,73,661,20240406
속초여행,여행,국내여행,강원도,530,85,615,20240406
부산여행,여행,국내여행,부산광역시,1543,201,1744,20240407
여수여행,여행,국내여행,전라남도,1374,163,1537,20240407
경주여행,여행,국내여행,경상북도,1310,186,1496,20240407
제주여행,여행,국내여행,제주특별자치도,1129,169,1298,20240407
군산여행,여행,국내여행,전라북도,1028,84,1112,20240407
전주여행,여행,국내여행,전라북도,746,105,851,20240407
강릉여행,여행,국내여행,강원도,632,108,740,20240407
대구여행,여행,국내여행,대구광역시,613,74,687,20240407
목포여행,여행,국내여행,전라남도,580,74,654,20240407
속초여행,여행,국내여행,강원도,479,99,578,20240407
부산여행,여행,국내여행,부산광역시,1602,713,2315,20240408
여수여행,여행,국내여행,전라남도,1271,546,1817,20240408
경주여행,여행,국내여행,경상북도,1146,581,1727,20240408
제주여행,여행,국내여행,제주특별자치도,1099,435,1534,20240408
군산여행,여행,국내여행,전라북도,844,283,1127,20240408
전주여행,여행,국내여행,전라북도,698,350,1048,20240408
강릉여행,여행,국내여행,강원도,633,342,975,20240408
속초여행,여행,국내여행,강원도,516,294,810,20240408
목포여행,여행,국내여행,전라남도,544,258,802,20240408
대구여행,여행,국내여행,대구광역시,514,226,740,20240408
부산여행,여행,국내여행,부산광역시,1430,660,2090,20240409
경주여행,여행,국내여행,경상북도,1054,559,1613,20240409
여수여행,여행,국내여행,전라남도,1142,438,1580,20240409
제주여행,여행,국내여행,제주특별자치도,1068,428,1496,20240409
군산여행,여행,국내여행,전라북도,848,256,1104,20240409
강릉여행,여행,국내여행,강원도,617,309,926,20240409
전주여행,여행,국내여행,전라북도,583,293,876,20240409
속초여행,여행,국내여행,강원도,530,244,774,20240409
대구여행,여행,국내여행,대구광역시,492,212,704,20240409
목포여행,여행,국내여행,전라남도,459,215,674,20240409
부산여행,여행,국내여행,부산광역시,1516,256,1772,20240410
여수여행,여행,국내여행,전라남도,1343,178,1521,20240410
경주여행,여행,국내여행,경상북도,1225,204,1429,20240410
제주여행,여행,국내여행,제주특별자치도,1187,158,1345,20240410
군산여행,여행,국내여행,전라북도,942,102,1044,20240410
전주여행,여행,국내여행,전라북도,717,102,819,20240410
강릉여행,여행,국내여행,강원도,644,119,763,20240410
대구여행,여행,국내여행,대구광역시,537,103,640,20240410
목포여행,여행,국내여행,전라남도,539,88,627,20240410
속초여행,여행,국내여행,강원도,517,94,611,20240410
부산여행,여행,국내여행,부산광역시,1418,643,2061,20240411
여수여행,여행,국내여행,전라남도,1202,434,1636,20240411
경주여행,여행,국내여행,경상북도,1094,506,1600,20240411
제주여행,여행,국내여행,제주특별자치도,1076,410,1486,20240411
군산여행,여행,국내여행,전라북도,835,220,1055,20240411
전주여행,여행,국내여행,전라북도,667,273,940,20240411
강릉여행,여행,국내여행,강원도,646,285,931,20240411
목포여행,여행,국내여행,전라남도,572,214,786,20240411
속초여행,여행,국내여행,강원도,478,203,681,20240411
대구여행,여행,국내여행,대구광역시,461,201,662,20240411
부산여행,여행,국내여행,부산광역시,1491,509,2000,20240412
경주여행,여행,국내여행,경상북도,1098,490,1588,20240412
여수여행,여행,국내여행,전라남도,1090,415,1505,20240412
제주여행,여행,국내여행,제주특별자치도,1029,354,1383,20240412
군산여행,여행,국내여행,전라북도,944,261,1205,20240412
전주여행,여행,국내여행,전라북도,728,293,1021,20240412
강릉여행,여행,국내여행,강원도,660,273,933,20240412
속초여행,여행,국내여행,강원도,553,196,749,20240412
목포여행,여행,국내여행,전라남도,555,185,740,20240412
대구여행,여행,국내여행,대구광역시,513,207,720,20240412
부산여행,여행,국내여행,부산광역시,1603,180,1783,20240413
여수여행,여행,국내여행,전라남도,1329,154,1483,20240413
경주여행,여행,국내여행,경상북도,1143,158,1301,20240413
제주여행,여행,국내여행,제주특별자치도,1041,173,1214,20240413
군산여행,여행,국내여행,전라북도,988,98,1086,20240413
전주여행,여행,국내여행,전라북도,785,82,867,20240413
강릉여행,여행,국내여행,강원도,688,103,791,20240413
대구여행,여행,국내여행,대구광역시,624,74,698,20240413
목포여행,여행,국내여행,전라남도,594,67,661,20240413
속초여행,여행,국내여행,강원도,548,64,612,20240413
부산여행,여행,국내여행,부산광역시,1563,215,1778,20240414
여수여행,여행,국내여행,전라남도,1365,155,1520,20240414
경주여행,여행,국내여행,경상북도,1205,185,1390,20240414
제주여행,여행,국내여행,제주특별자치도,1094,164,1258,20240414
군산여행,여행,국내여행,전라북도,1047,91,1138,20240414
강릉여행,여행,국내여행,강원도,771,117,888,20240414
전주여행,여행,국내여행,전라북도,732,92,824,20240414
대구여행,여행,국내여행,대구광역시,596,84,680,20240414
목포여행,여행,국내여행,전라남도,566,73,639,20240414
속초여행,여행,국내여행,강원도,554,79,633,20240414
부산여행,여행,국내여행,부산광역시,1537,828,2365,20240415
여수여행,여행,국내여행,전라남도,1392,524,1916,20240415
경주여행,여행,국내여행,경상북도,1114,590,1704,20240415
제주여행,여행,국내여행,제주특별자치도,1111,494,1605,20240415
군산여행,여행,국내여행,전라북도,824,330,1154,20240415
강릉여행,여행,국내여행,강원도,702,335,1037,20240415
전주여행,여행,국내여행,전라북도,656,318,974,20240415
목포여행,여행,국내여행,전라남도,545,265,810,20240415
속초여행,여행,국내여행,강원도,493,242,735,20240415
대구여행,여행,국내여행,대구광역시,469,242,711,20240415
부산여행,여행,국내여행,부산광역시,1465,697,2162,20240416
여수여행,여행,국내여행,전라남도,1188,535,1723,20240416
경주여행,여행,국내여행,경상북도,1062,515,1577,20240416
제주여행,여행,국내여행,제주특별자치도,1090,446,1536,20240416
군산여행,여행,국내여행,전라북도,842,242,1084,20240416
강릉여행,여행,국내여행,강원도,624,319,943,20240416
전주여행,여행,국내여행,전라북도,651,270,921,20240416
목포여행,여행,국내여행,전라남도,504,249,753,20240416
대전여행,여행,국내여행,대전광역시,486,225,711,20240416
대구여행,여행,국내여행,대구광역시,440,244,684,20240416
부산여행,여행,국내여행,부산광역시,1572,628,2200,20240417
여수여행,여행,국내여행,전라남도,1205,480,1685,20240417
제주여행,여행,국내여행,제주특별자치도,1133,434,1567,20240417
경주여행,여행,국내여행,경상북도,936,501,1437,20240417
군산여행,여행,국내여행,전라북도,773,237,1010,20240417
강릉여행,여행,국내여행,강원도,682,310,992,20240417
전주여행,여행,국내여행,전라북도,652,287,939,20240417
목포여행,여행,국내여행,전라남도,469,239,708,20240417
속초여행,여행,국내여행,강원도,478,198,676,20240417
대구여행,여행,국내여행,대구광역시,489,176,665,20240417
부산여행,여행,국내여행,부산광역시,1858,721,2579,20240418
여수여행,여행,국내여행,전라남도,1144,432,1576,20240418
경주여행,여행,국내여행,경상북도,1009,513,1522,20240418
제주여행,여행,국내여행,제주특별자치도,1039,430,1469,20240418
군산여행,여행,국내여행,전라북도,749,270,1019,20240418
전주여행,여행,국내여행,전라북도,654,283,937,20240418
강릉여행,여행,국내여행,강원도,617,254,871,20240418
속초여행,여행,국내여행,강원도,518,238,756,20240418
